subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
8	 176	 3	 0	 0	 1	 11	 0	 1	 2	 0	 1462.69	 
8	 177	 18	 1	 2	 2	 8	 1	 1	 0	 0	 1531.52	 
8	 178	 10	 1	 1	 1	 12	 1	 1	 2	 0	 31786.47	 
8	 179	 14	 1	 2	 0	 1	 0	 0	 0	 0	 1314.78	 
8	 180	 10	 1	 1	 1	 1	 0	 0	 0	 0	 2395.40	 
8	 181	 3	 0	 0	 1	 7	 0	 1	 0	 0	 1074.17	 
8	 182	 4	 1	 0	 1	 3	 0	 0	 1	 0	 659.97	 
8	 183	 18	 1	 2	 2	 17	 0	 2	 2	 1	 1132.82	 
8	 184	 4	 1	 0	 1	 5	 0	 0	 2	 1	 1126.78	 
8	 185	 10	 1	 1	 1	 18	 1	 2	 2	 0	 1800.69	 
8	 186	 2	 1	 0	 0	 8	 1	 1	 0	 0	 934.72	 
8	 187	 1	 0	 0	 0	 16	 1	 2	 1	 1	 1738.31	 
8	 188	 9	 0	 1	 1	 11	 0	 1	 2	 1	 1666.61	 
8	 189	 12	 1	 1	 2	 13	 0	 2	 0	 0	 1533.25	 
8	 190	 10	 1	 1	 1	 7	 0	 1	 0	 1	 1405.41	 
8	 191	 11	 0	 1	 2	 1	 0	 0	 0	 0	 2474.14	 
8	 192	 8	 1	 1	 0	 1	 0	 0	 0	 0	 1393.09	 
8	 193	 10	 1	 1	 1	 4	 1	 0	 1	 0	 1130.42	 
8	 194	 4	 1	 0	 1	 18	 1	 2	 2	 0	 1203.17	 
8	 195	 12	 1	 1	 2	 18	 1	 2	 2	 0	 1532.15	 
8	 196	 17	 0	 2	 2	 8	 1	 1	 0	 0	 1536.89	 
8	 197	 18	 1	 2	 2	 10	 1	 1	 1	 0	 1395.11	 
8	 198	 9	 0	 1	 1	 14	 1	 2	 0	 0	 1461.61	 
8	 199	 8	 1	 1	 0	 8	 1	 1	 0	 1	 1938.38	 
8	 200	 15	 0	 2	 1	 14	 1	 2	 0	 1	 1528.47	 
8	 201	 9	 0	 1	 1	 16	 1	 2	 1	 1	 1071.65	 
